1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	2
9	2
10	2
11	2
12	2
13	2
14	2
15	2
16	2
17	3
18	3
19	3
20	3
21	3
22	6
23	6
24	6
25	7
26	7
27	7
28	7
29	8
30	8
31	8
32	8
33	8
34	13
35	14
36	14
37	14
38	14
39	15
40	15
41	15
42	16
43	21
44	22
45	23
46	23
47	24
48	24
49	24
50	27
51	41
52	41
53	42
54	42
55	44
56	45
57	45
58	46
59	46
60	47
61	48
62	50
63	51
64	52
65	53
66	54
67	56
68	57
69	58
70	59
71	60
72	62
73	63
74	64
75	65
76	66
77	68
78	69
79	70
80	71
81	72
82	74
83	75
84	76
85	77
86	78
87	80
88	81
89	82
90	83
91	84
92	86
93	87
94	88
95	89
96	90
97	91
98	92
99	93
100	94
101	95
102	96
103	97
104	98
105	99
106	100
107	101
108	102
109	103
110	104
111	105
112	106
113	107
114	108
115	109
